,count,percentage,EOA_count,EOA_percentage
erd1yu0rw8v780r4ta7cma2lf58c5t78mu88gmsjfmjmcm0z8fpxyadqjene3w,0,0.0,12,0.07403294466037387
erd1yh29uazd4ygw26v5sn32rs33e8m69v0hcs4f80qe4wtss64sr5eqha8fvu,3,0.018508236165093468,12,0.07403294466037387
erd187j69y6evc2x52te75yt3vgksstv9dj43rv5kj8qtda8tmqutd3s70td3z,0,0.0,12,0.07403294466037387
erd1kxpy3hjdkk4ajl5hdyhscpyjcrjmt4037pxuyysm8dl036j3r9ssqrrt43,1,0.006169412055031155,12,0.07403294466037387
erd17au5ytxvs09sr7gt5z0laresqrlycwtacmk2n534rcy8k528ew7sxzc8y4,0,0.0,12,0.07403294466037387
erd1kzenwn35v23mv5ftrt946s2h6h9vn8e8zxmyqualtr36wu9xaxlsfae4ly,7,0.04318588438521809,12,0.07403294466037387
erd1xn560r77w6gt58t9q2xk9y5hlukswqmjplty5wn73eleg7snv59snhls6z,0,0.0,12,0.07403294466037387
erd10jdq8c8mnys4vnea0cscqnhdcahqg3vw70jeeeleuj6759yfrvvqzkwg4z,0,0.0,12,0.07403294466037387
erd1ehlg9jt6n4h59uetds698pe9ppfv6rthxm65znw5qn5smv8xyvgq8jsgwz,2,0.01233882411006231,12,0.07403294466037387
erd1r9xz6gm55uxhuuqy8nsm97l9wcql6z27ll8x9rqjd5gnmyc5dn4sf9w5g7,2,0.01233882411006231,12,0.07403294466037387
erd1eeehs9gxxwe5q7584ew544626xdnu3g6exx9n89luaxkv5syg58qmnflhd,0,0.0,12,0.07403294466037387
erd1xre77qc62kmem0y6j9xdqcrkf9jgkg65cmn7dgu83ev2ztzxu02qn75ttm,12,0.07403294466037387,12,0.07403294466037387
erd1sdesjz00hjksw5frmzs27z6wn3hl5mrhpwst5zrwlphvg6d9we4s66gzjg,0,0.0,12,0.07403294466037387
erd1ftyahfll7zky6q8m8g2vg97up2ajcuccfnladk0h933rs0eql9zsfd5ue3,0,0.0,11,0.06786353260534271
erd1yfxtk0s7eu9eq8zzwsvgsnuq85xrj0yysjhsp28tc2ldrps25mwqztxgph,0,0.0,11,0.06786353260534271
erd1dv9sw8a2hy3lv98p3sdqazy420j48wtn3vs9q74ezuamv64tcxrqqxquxv,0,0.0,11,0.06786353260534271
erd1emewjrf8vznvrkuzrehq9kk2gtqdy6xcys4z5755ta7c93mndalsq6zqns,0,0.0,11,0.06786353260534271
erd1nuzxjcq9n0t5xc53ftwudzym3n2fjfthl0zhuuu7f0l7ncgaussqe89kgt,10,0.06169412055031156,11,0.06786353260534271
erd18rt0jpvh34ycv982mpmz36mh3y0qg720nt9xqhky4akskgt6ztmsat0zjv,1,0.006169412055031155,11,0.06786353260534271
erd1lf5c9vsnw9rmlzrd527d2ljyl4ay8kpky3grzg0hydjqgam05pzserqphn,0,0.0,11,0.06786353260534271
erd1esq43hql5lnsc688ffypc5sxhxslh6xvpsftsn9s3qxkpd5797rq575a3p,0,0.0,11,0.06786353260534271
erd1qxa2ttm09cnpnj98qzssv2kawh944cwerwf7u9jfytnrjrsqmcyqkq63rp,1,0.006169412055031155,11,0.06786353260534271
erd16n7ucerg4cz4quwqnuw4hnuu622p43zkpra2q7gxpg2gyr80jhjqnwp9lf,0,0.0,11,0.06786353260534271
erd15rnzhf6j86xsp9nw8w6l7pwmkye9a4n3s26jqfdw7am26lp86rgqhw2kq4,0,0.0,11,0.06786353260534271
erd1lrdvy7tmsqr8nlyy8zlkc9aary588tze308es480udccqy7pf2gqlgch8z,0,0.0,11,0.06786353260534271
erd19l76u5suhc9vf3r44s2ku374gjvs7nhqrkyujafysqew7w0eppyqzdlfa5,1,0.006169412055031155,11,0.06786353260534271
erd1plmhnfyq48kf8etuhy3hr45676kj43fl5ar84r3ruakduqgts8ks06a0ec,0,0.0,11,0.06786353260534271
